CVEGEO,CENSO,VIVIENDA,HABITANTE,VIAJES_VIVIENDA,VIAJES_ORIGEN,VIAJES_DESTINO
1.4097E+12,12F,12F,12F,12F,12F,12F
1.4039E+12,9,,,,5,5
1.4098E+12,18,18,18,18,18,18
1.407E+12,29F,,,,29F,29F
1.407E+12,29F,29F,29F,29F,29F,29F
1.407E+12,35,35,35,35,35,35
1.4039E+12,9,,,,9,9
1.4098E+12,18,18,18,18,18,18
1.4098E+12,18,18,18,18,18,18
1.4098E+12,18,,,,18,18
1.407E+12,35,35,35,35,35,35
140700021101A,35,35,35,35,35,35
1.407E+12,35,,,,35,35
1.407E+12,35,35,35,35,35,35
1.407E+12,35,35,35,35,35,35
140390001418A,9,9,9,9,9,9
1.4098E+12,18,,,,18,18
1.4098E+12,18,18,18,18,18,18
1.4039E+12,9,9,9,9,9,9
1.4101E+12,7,,,,7,7
1.4039E+12,9,,,,9,9
1.4101E+12,7,7,7,7,7,7
1.4039E+12,9,9,9,9,9,9
1.4039E+12,9,9,9,9,9,9
1.4039E+12,9,9,9,9,9,9
1.4039E+12,8,8,8,8,8,8
141010001108A,7,7,7,7,7,7
1.4098E+12,7,,,,7,7
1.4039E+12,9,,,,9,9
1.4039E+12,9,9,9,9,9,9
1.4039E+12,8,,,,8,8
1.4039E+12,8,8,8,8,8,8
1.4039E+12,8,,,,8,8
1.4098E+12,7,,,,7,7
1.4039E+12,9,,,,9,9
1.4039E+12,8,,,,8,8
140390001514A,8,,,,,
1.4039E+12,8,,,,,
1.407E+12,35,,,,35,35
1.4097E+12,11F,11F,11F,11F,11F,11F
140970001212A,11F,11F,11F,11F,11F,11F
1.4097E+12,11F,11F,11F,11F,11F,11F
1.4097E+12,11F,,,,,
1.4097E+12,59,59,59,59,59,59
1.4097E+12,59,59,59,59,59,59
1.4097E+12,59,59,59,59,59,59
1.4097E+12,59,59,59,59,59,59
1.4097E+12,02F,02F,02F,02F,02F,02F
1.4097E+12,02F,02F,02F,02F,02F,02F
140970006,02F,,,,,
140970117,02F,,,,,
140970800,02F,,,,,
1.4044E+12,54,,,,54,54
1.4044E+12,54,,,,,
1.4097E+12,02F,02F,02F,02F,02F,02F
1.4097E+12,02F,,,,,
140970003,37F,,,,,
140970028,37F,,,,,
140970177,37F,,,,,
1.4044E+12,02F,02F,02F,02F,02F,02F
140970186,51F,,,,,
1.4097E+12,11F,,,,,
1.4097E+12,11F,,,,,
140970877,11F,,,,,
1.4097E+12,51F,51F,51F,51F,51F,51F
1.4097E+12,51F,51F,51F,51F,51F,51F
140970015319A,51F,,,,,
1.4097E+12,51F,51F,51F,51F,51F,51F
1.4097E+12,51F,,,,,
1.4097E+12,51F,,,,,
1.4097E+12,51F,51F,51F,51F,51F,51F
1.4097E+12,51F,,,,,
1.4097E+12,51F,,,,,
1.4097E+12,51F,,,,,
1.4097E+12,51F,,,,,
1.4097E+12,51F,,,,,
1.4097E+12,51F,,,,51F,51F
1.4097E+12,51F,,,,,
1.4097E+12,51F,,,,,
1.4097E+12,51F,,,,,
1.4097E+12,51F,51F,51F,51F,51F,51F
1.4097E+12,51F,,,,,
1.4097E+12,51F,51F,51F,51F,51F,51F
1.4097E+12,51F,51F,51F,51F,51F,51F
1.4097E+12,51F,,,,,
140970441,NA,,,,,
140970014,NA,,,,,
1.4097E+12,59,,,,59,59
140970004,NA,,,,,
140970502,59,,,,,
140970743,59,,,,,
1.4097E+12,59,59,59,59,59,59
1.4097E+12,59,59,59,59,59,59
1.4097E+12,59,,,,59,59
140970005034A,59,59,59,59,59,59
1.4097E+12,59,,,,59,59
140970005066A,59,,,,,
1.4097E+12,59,,,,59,59
1.4097E+12,59,,,,,
1.4097E+12,59,,,,59,59
1.412E+12,14F,14F,14F,14F,14F,14F
1.412E+12,14F,14F,14F,14F,14F,14F
1.41201E+12,14F,,,,,
1.412E+12,65A,,,,65A,65A
1.412E+12,65A,,,,,
141200318,65A,,,,,
1.412E+12,65A,,,,65A,65A
1.412E+12,65B,,,,65B,65B
1.4039E+12,5,,,,5,5
1.412E+12,65B,65B,65B,65B,65B,65B
1.4039E+12,5,5,5,5,5,5
1.4039E+12,5,,,,5,5
1.412E+12,69B,69B,69B,69B,69B,69B
1.412E+12,69B,69B,69B,69B,69B,69B
1.412E+12,69B,,,,69B,69B
1.4039E+12,5,5,5,5,5,5
1.4039E+12,5,5,5,5,5,5
1.4039E+12,69B,69B,69B,69B,69B,69B
1.412E+12,69B,,,,69B,69B
1.4039E+12,70B,70B,70B,70B,70B,70B
1.4039E+12,70B,70B,70B,70B,70B,70B
1.4039E+12,5,,,,5,5
1.4039E+12,5,5,5,5,5,5
1.4039E+12,5,,,,5,5
1.4039E+12,69A,69A,69A,69A,69A,69A
1.4039E+12,70B,,,,70B,70B
1.4039E+12,70B,,,,70B,70B
1.4039E+12,70B,70B,70B,70B,70B,70B
1.4039E+12,70B,70B,70B,70B,70B,70B
1.4039E+12,70B,70B,70B,70B,70B,70B
1.4039E+12,70B,,,,70B,70B
1.4039E+12,70B,,,,,
1.4039E+12,70B,,,,,
1.4039E+12,69A,69A,69A,69A,69A,69A
1.4039E+12,70B,,,,70B,70B
1.4039E+12,70B,70B,70B,70B,70B,70B
140390001005A,69A,69A,69A,69A,69A,69A
1.4039E+12,69A,69A,69A,69A,69A,69A
140970033,NA,,,,,
140970011,NA,,,,,
140970013,NA,,,,,
141200022,14F,,,,,
1.40971E+12,30F,,,,30F,30F
1.4097E+12,30F,,,,30F,30F
1.4097E+12,30F,30F,30F,30F,30F,30F
1.4098E+12,32,32,32,32,32,32
1.407E+12,32,32,32,32,32,32
1.4098E+12,34,34,34,34,34,34
1.4098E+12,34,,,,34,34
1.4098E+12,34,,,,34,34
1.4098E+12,34,34,34,34,34,34
1.4098E+12,34,34,34,34,34,34
1.4098E+12,57,,,,57,57
1.4098E+12,43,43,43,43,43,43
1.4098E+12,22,,,,,
1.4097E+12,22,22,22,22,22,22
1.4097E+12,22,22,22,22,22,22
1.4097E+12,22,22,22,22,22,22
1.407E+12,32,32,32,32,32,32
140980001167A,34,,,,34,34
1.4098E+12,34,34,34,34,34,34
1.4098E+12,34,57,57,57,57,57
1.4098E+12,43,43,43,43,43,43
140980001256A,43,43,43,43,43,43
1.412E+12,69B,69B,69B,69B,69B,69B
1.4098E+12,32,32,32,32,32,32
1.407E+12,37F,,,,37F,37F
1.4098E+12,34,,,,34,34
1.4098E+12,34,34,34,34,34,34
140980001142A,34,,,,34,34
1.4098E+12,43,,,,43,43
1.4098E+12,43,,,,43,43
1.412E+12,69B,69B,69B,69B,69B,69B
141200001116A,69B,69B,69B,69B,69B,69B
1.4098E+12,37F,37F,37F,37F,37F,37F
1.412E+12,24B,24B,24B,24B,24B,24B
1.412E+12,24B,24B,24B,24B,24B,24B
1.412E+12,24B,24B,24B,24B,24B,24B
1.412E+12,21A,21A,21A,21A,21A,21A
1.412E+12,24B,,,,24B,24B
1.412E+12,24B,,,,24B,24B
1.412E+12,24B,24B,24B,24B,24B,24B
1.412E+12,24B,,,,24B,24B
1.412E+12,21A,24B,24B,24B,24B,24B
1.412E+12,21A,21A,21A,21A,21A,21A
1.412E+12,21A,21A,21A,21A,21A,21A
1.412E+12,21A,21A,21A,21A,21A,21A
1.412E+12,21A,21A,21A,21A,21A,21A
1.412E+12,21A,21A,21A,21A,21A,21A
1.412E+12,21A,21A,21A,21A,21A,21A
140970852415A,11F,,,,,
1.40971E+12,11F,11F,11F,11F,11F,11F
1.40971E+12,11F,11F,11F,11F,11F,11F
140980029,22,,,,,
140970561,11F,,,,,
1.40971E+12,39F,39F,39F,39F,39F,39F
1.40971E+12,39F,39F,39F,39F,39F,39F
1.40971E+12,39F,39F,39F,39F,39F,39F
1.40971E+12,39F,39F,39F,39F,39F,39F
1.40971E+12,39F,,,,,
1.40971E+12,39F,39F,39F,39F,39F,39F
140980134,30,,,,,
140970848,30,,,,,
140970636,30,,,,,
140970904,39F,,,,,
140970872,30,,,,,
140970459,30,,,,,
1.4097E+12,12F,12F,12F,12F,12F,12F
1.4097E+12,12F,12F,12F,12F,12F,12F
140970552,12F,,,,,
1.4097E+12,30F,30F,30F,30F,30F,30F
1.4097E+12,30F,,,,,
1.4097E+12,30F,,,,,
1.4097E+12,30F,,,,30F,30F
1.4097E+12,30F,,,,,
1.4097E+12,30F,,,,30F,30F
1.4097E+12,30F,,,,30F,30F
140970832,30F,,,,,
1.40971E+12,30,30,30,30,30,30
1.4097E+12,30F,,,,,
1.4097E+12,30F,,,,,
140970864,30F,,,,,
1.40971E+12,30,30,30,30,30,30
140970854,12F,,,,,
1.4097E+12,12F,12F,12F,12F,12F,12F
1.4097E+12,12F,12F,12F,12F,12F,12F
1.4097E+12,12F,,,,12F,12F
1.4097E+12,12F,12F,12F,12F,12F,12F
1.4097E+12,12F,,,,12F,12F
1.4097E+12,12F,12F,12F,12F,12F,12F
1.4097E+12,12F,,,,12F,12F
140970349,12F,,,,,
140970701,12F,,,,,
1.4097E+12,12F,,,,,
1.4097E+12,12F,,,,12F,12F
140970575,12F,,,,,
140970725,12F,,,,,
1.4097E+12,12F,,,,12F,12F
1.4097E+12,12F,,,,12F,12F
1.4097E+12,12F,,,,,
1.4097E+12,12F,,,,,
1.4097E+12,12F,12F,12F,12F,12F,12F
1.4097E+12,12F,,,,,
1.4097E+12,30F,,,,,
1.4097E+12,30F,30F,30F,30F,30F,30F
1.4097E+12,30F,,,,,
1.4097E+12,30F,,,,,
1.4097E+12,30F,,,,,
1.4097E+12,30F,,,,30F,30F
1.4097E+12,30F,,,,30F,30F
1.4097E+12,30F,,,,,
1.4097E+12,30F,,,,,
140970870408A,30F,,,,,
140970647,30F,,,,,
1.4097E+12,30F,,,,,
1.4097E+12,17,17,17,17,17,17
1.4097E+12,17,17,17,17,17,17
1.4097E+12,11F,,,,11F,11F
1.4097E+12,17,17,17,17,17,17
1.4097E+12,17,17,17,17,17,17
1.4097E+12,17,17,17,17,17,17
140970658,17,,,,,
1.40971E+12,39F,39F,39F,39F,39F,39F
1.4097E+12,17,,,,,
1.4097E+12,17,,,,,
1.4097E+12,17,,,,,
1.4097E+12,11F,11F,11F,11F,11F,11F
140970001109A,11F,,,,11F,11F
1.4097E+12,11F,,,,,
1.4097E+12,11F,11F,11F,11F,11F,11F
1.4097E+12,11F,,,,,
1.4097E+12,11F,11F,11F,11F,11F,11F
1.4097E+12,11F,,,,,
1.4097E+12,11F,11F,11F,11F,11F,11F
1.4097E+12,11F,,,,11F,11F
1.4097E+12,11F,11F,11F,11F,11F,11F
1.4097E+12,17,,,,17,17
1.4097E+12,17,17,17,17,17,17
1.4097E+12,17,,,,17,17
140970835365A,11F,11F,11F,11F,11F,11F
1.40971E+12,11F,11F,11F,11F,11F,11F
1.40971E+12,11F,11F,11F,11F,11F,11F
1.40971E+12,11F,11F,11F,11F,11F,11F
1.4097E+12,11F,,,,,
1.4097E+12,11F,11F,11F,11F,11F,11F
1.4097E+12,11F,,,,,
1.4097E+12,11F,,,,,
1.40971E+12,11F,,,,,
1.40971E+12,11F,11F,11F,11F,11F,11F
140970045,39F,,,,,
140970823422A,39F,,,,,
1.4097E+12,17,17,17,17,17,17
1.4097E+12,17,,,,,
1.4097E+12,30F,30F,30F,30F,30F,30F
1.4098E+12,30,,,,,
1.4098E+12,30,30,30,30,30,30
1.4098E+12,30,,,,,
