CLAVE,CLAVE_ENT,NOM_ENT,NOM_MUN,SEXO,ANO,POB_TOTAL,POB_00_04,POB_05_09,POB_010_014,POB_015_019,POB_20_24,POB_25_29,POB_30_34,POB_35_39,POB_40_44,POB_45_49,POB_50_54,POB_55_59,POB_60_64,POB_65_69,POB_70_74,POB_75_79,POB_80_84,POB_85_mm,fecha,etiqueta_estado
14039,14,Jalisco,Guadalajara,HOMBRES,1990,831481,114530,101199,97018,97620,85364,69549,54386,43611,37491,31616,25037,20454,16905,13515,9998,6820,3885,2483,1990-01-01,Jalisco
14039,14,Jalisco,Guadalajara,MUJERES,1990,892053,110245,98404,96156,101227,91812,76394,61359,49783,42282,35718,29362,25025,21530,17978,14017,10210,6205,4346,1990-01-01,Jalisco
14039,14,Jalisco,Guadalajara,HOMBRES,1991,829338,112621,99322,94923,96605,85789,70433,55188,44263,37435,32159,25710,20756,17101,13586,10069,6840,3952,2586,1991-01-01,Jalisco
14039,14,Jalisco,Guadalajara,MUJERES,1991,889889,108398,96560,94031,99789,91764,76951,62154,50669,42523,36509,30128,25339,21686,18006,14140,10300,6371,4571,1991-01-01,Jalisco
14039,14,Jalisco,Guadalajara,HOMBRES,1992,826320,110366,97384,93054,95072,86119,71150,55945,44915,37471,32665,26406,21081,17270,13665,10166,6883,4022,2686,1992-01-01,Jalisco
14039,14,Jalisco,Guadalajara,MUJERES,1992,886531,106211,94631,92107,97810,91571,77290,62862,51514,42855,37260,30902,25666,21805,18037,14276,10410,6531,4793,1992-01-01,Jalisco
14039,14,Jalisco,Guadalajara,HOMBRES,1993,822103,107679,95336,91390,93110,86245,71716,56615,45515,37643,33109,27102,21430,17400,13743,10268,6942,4080,2780,1993-01-01,Jalisco
14039,14,Jalisco,Guadalajara,MUJERES,1993,881874,103604,92618,90384,95383,91181,77458,63445,52270,43336,37958,31669,26007,21878,18057,14414,10537,6669,5006,1993-01-01,Jalisco
14039,14,Jalisco,Guadalajara,HOMBRES,1994,816719,104547,93223,89866,90894,86058,72121,57155,46017,38023,33459,27816,21818,17493,13821,10370,7026,4138,2874,1994-01-01,Jalisco
14039,14,Jalisco,Guadalajara,MUJERES,1994,876041,100565,90561,88814,92717,90522,77479,63867,52894,44035,38560,32443,26371,21912,18073,14543,10693,6793,5199,1994-01-01,Jalisco
14039,14,Jalisco,Guadalajara,HOMBRES,1995,807255,100650,90775,87997,88236,85011,72074,57426,46350,38484,33559,28369,22208,17571,13914,10443,7082,4147,2959,1995-01-01,Jalisco
14039,14,Jalisco,Guadalajara,MUJERES,1995,865990,96756,88129,86906,89746,89164,77061,63897,53253,44764,38888,33084,26738,21939,18110,14598,10768,6836,5353,1995-01-01,Jalisco
14039,14,Jalisco,Guadalajara,HOMBRES,1996,810564,98367,90375,87545,87312,85038,73131,58610,47476,39505,33853,29081,22942,17958,14226,10638,7228,4205,3074,1996-01-01,Jalisco
