Folio Vivienda,Número único de vivienda 
Folio Habitante,Número único de habitante
Fecha,
Municipio,
AGEB,Área geográfica que corresponde a la vivienda del habitante
Centralidad,Zona de la ciudad que le corrsponde a la vivienda del habitante 
¿Salió de su casa ayer?,
¿Cuál es la razón por la que NO realizó algún viaje?,
Viajes contados,
Día de la semana que realizó los viajes:,
Parentesco,
Sexo de nacimiento,
Género con el que se identifica:,
Grupo de Edad,Rangos de edad
Edad,
Estado civil,
Escolaridad,
Durante la semana pasada trabajó:,
Ocupación:,
Giro de la empresa donde trabaja:,
¿Tiene alguna discapacidad?,
¿Qué tipo de discapacidad?,
¿Requiere acompañamiento en sus viajes?,
¿Por qué razón requiere acompañamiento en sus viajes?,
¿De quien recibe apoyo para realizar los viajes?,
¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | A PIE,
¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | CAMIÓN O AUTOBÚS,
¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | AUTOMÓVIL PARTICULAR,
¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | TREN LIGERO,
¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | MI MACRO,
¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | MOTOCICLETA,
¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Taxi,
¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Taxi plataforma (Uber/Didi),
¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Línea 1 Sitren,
¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Línea 2 Sitren,
¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Línea 3 Sitren,
¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Mototaxi,
¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Transporte de personal,
¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Servicio suburbano,
¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Transporte escolar,
¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Transporte informal,
¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Transporte escolar particular,
¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Taxi colectivo,
¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Mi Bici,
¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Bicicleta,
¿Cuáles son los principales destinos de los viajes en fin de semana? | Trabajar,
¿Cuáles son los principales destinos de los viajes en fin de semana? | Estudiar,
¿Cuáles son los principales destinos de los viajes en fin de semana? | Compras (comida),
"¿Cuáles son los principales destinos de los viajes en fin de semana? | Compras (bienes, productos y servicios)",
¿Cuáles son los principales destinos de los viajes en fin de semana? | Visitar a alguien,
¿Cuáles son los principales destinos de los viajes en fin de semana? | Deportes o recreación,
¿Cuáles son los principales destinos de los viajes en fin de semana? | Llevar o recoger a alguien,
¿Cuáles son los principales destinos de los viajes en fin de semana? | Hacer un trámite,
¿Cuáles son los principales destinos de los viajes en fin de semana? | Al médico o atención de salud,
¿Cuáles son los principales destinos de los viajes en fin de semana? | Pagar algún servicio o al banco,
¿Cuáles son los principales destinos de los viajes en fin de semana? | Guardería,
¿Cuáles son los principales destinos de los viajes en fin de semana? | Regresar a Casa,
¿Cuáles son los principales destinos de los viajes en fin de semana? | Religión,
Ponderador,Cantidad que se da para aumentar o disminuir la importancia de un elemento
