Folio Vivienda,Número único de vivienda 
Folio Habitante,Número único de habitante
Folio Viaje,Número único de viaje
Fecha,
Municipio,
AGEB,Área geográfica que corresponde al origen del viaje
Centralidad,Zona de la ciudad que le corresponde al origen del viaje
Día de la semana que realizó los viajes:,
¿En qué tipo de lugar inició su primer viaje?,
Origen,
Zona origen,Zona en dónde se originó el viaje
¿A qué hora comenzó su viaje? | Hora de inicio | Horas,
¿A qué hora comenzó su viaje? | Hora de inicio | Minutos,
Motivo de su viaje,
¿A qué tipo de lugar llegó en su viaje?,
Destino,
Zona Destino,Zona de destino del viaje
Traslados en el viaje,
Medio del viaje,
Traslados que utilizó para su viaje: | Traslado 1 | Medio,
Traslados que utilizó para su viaje: | Traslado 1 | Minutos,
Traslados que utilizó para su viaje: | Traslado 1 | Pago (pesos),
Traslados que utilizó para su viaje: | Traslado 2 | Medio,
Traslados que utilizó para su viaje: | Traslado 2 | Minutos,
Traslados que utilizó para su viaje: | Traslado 2 | Pago (pesos),
Traslados que utilizó para su viaje: | Traslado 3 | Medio,
Traslados que utilizó para su viaje: | Traslado 3 | Minutos,
Traslados que utilizó para su viaje: | Traslado 3 | Pago (pesos),
Traslados que utilizó para su viaje: | Traslado 4 | Medio,
Traslados que utilizó para su viaje: | Traslado 4 | Minutos,
Traslados que utilizó para su viaje: | Traslado 4 | Pago (pesos),
Traslados que utilizó para su viaje: | Traslado 5 | Medio,
Traslados que utilizó para su viaje: | Traslado 5 | Minutos,
Traslados que utilizó para su viaje: | Traslado 5 | Pago (pesos),
¿Cuántos minutos duró su viaje sumando todos los traslados?,
¿Viajó sólo o acompañado en su viaje?,
¿Con quién viajó?,
¿Viajó como conductor o acompañante?,
¿Cuántas personas iban en el auto o moto al inicio del viaje?,
¿Viajó otra persona que no vive en el mismo hogar?,
¿Dónde se estacionó?,
¿Pagó por estacionarse?,
¿Cuántos pesos pagó en total por estacionarse?,
¿El pago fue formal o informal?,
¿Con qué frecuencia paga el estacionamiento?,
Parentesco,
Sexo de nacimiento,
Género con el que se identifica:,
Grupo de Edad,Rangos de Edad 
Edad,
Estado civil,
Escolaridad,
Durante la semana pasada trabajó:,
Ocupación:,
Giro de la empresa donde trabaja:,
¿Tiene alguna discapacidad?,
¿Qué tipo de discapacidad?,
Ponderador,Cantidad que se da para aumentar o disminuir la importancia de un elemento
