Folio Vivienda,Número único de vivienda 
Fecha,
Municipio,
AGEB,Área geográfica que corresponde a la vivienda
Centralidad,Zona de la ciudad que le corresponde a la viviena
"En su opinión, ¿Cuál es el principal problema de movilidad en sus traslados en la zona donde vive?",
"Y con respecto al TRANSPORTE PÚBLICO, ¿Cuál considera que es el principal problema de la zona donde vive?",
"Incluyéndolo, ¿cuántas personas viven permanentemente en su vivienda contando a los bebés y personas adultas mayores?",
Esta casa es?,
¿Ingresos mensuales de todas las personas que habitan en la vivienda y aportan gastos al hogar?,
¿Cuántos ... tienen en esta vivienda? | Vehículos (autos o camionetas),
¿Cuántos ... tienen en esta vivienda? | Motocicletas o motonetas,
¿Cuántos ... tienen en esta vivienda? | Bicicletas,
¿Dónde estacionan los vehículos?,
Persona del hogar que fue el informante principal,
¿En su vivienda tienen acceso a internet?,
"En su hogar, ¿Estarían dispuestos a participar en este mismo tipo de estudio en el futuro?",
Ponderador,Cantidad que se da para aumentar o disminuir la importancia de un elemento
